"","region","type_mobility","max_ccf","max_lag","min_ccf","min_lag"
"1","North West","Grocery & pharmacy",0.257516507874145,27,-0.515410182433293,-3
"2","North West","Parks",0.247387330560846,26,-0.453127371138692,-4
"3","North West","Residential",0.368610551160124,0,-0.16429326230596,30
"4","North West","Retail & recreation",0.213783141305879,27,-0.440985764062295,-2
"5","North West","Transit stations",0.162747124031472,26,-0.345576324173419,-1
"6","North West","Workplaces",0.156508308632669,-50,-0.469111644090646,-29
"7","Yorkshire and The Humber","Grocery & pharmacy",0.152396314968447,-50,-0.615621332857835,-1
"8","Yorkshire and The Humber","Parks",0.0894680751352015,-50,-0.61216279824442,0
"9","Yorkshire and The Humber","Residential",0.699453428515532,-3,-0.114747323343425,50
"10","Yorkshire and The Humber","Retail & recreation",0.10757247387882,-50,-0.737314638125401,-2
"11","Yorkshire and The Humber","Transit stations",0.100022565996228,-24,-0.725840391858568,-3
"12","Yorkshire and The Humber","Workplaces",0.201906780349202,-25,-0.666402589090835,-7
"13","North East","Grocery & pharmacy",0.0161926926306868,24,-0.556257034241977,0
"14","North East","Parks",0.0688865710864531,26,-0.528187483498466,0
"15","North East","Residential",0.519743240047488,0,-0.0297062806264951,50
"16","North East","Retail & recreation",0.0747287316055205,25,-0.606975120408244,0
"17","North East","Transit stations",0.0375501841080658,50,-0.492215023139615,0
"18","North East","Workplaces",0.142598440393654,-50,-0.341958170023914,-29
"19","West Midlands","Grocery & pharmacy",0.49129782300626,11,-0.171209719897853,-45
"20","West Midlands","Parks",0.397649808032302,7,-0.143537606526865,-26
"21","West Midlands","Residential",0.196889387334581,-41,-0.325249916614419,14
"22","West Midlands","Retail & recreation",0.373269211889624,7,-0.175547148981958,-29
"23","West Midlands","Transit stations",0.300763987705504,6,-0.127807328210022,-34
"24","West Midlands","Workplaces",0.25292983736038,19,-0.461452061736151,-41
"25","East Midlands","Grocery & pharmacy",0.334506350645057,50,-0.659295480517432,-7
"26","East Midlands","Parks",0.28362870953282,50,-0.67186386640837,-22
"27","East Midlands","Residential",0.491206076974149,-11,-0.274165853743949,50
"28","East Midlands","Retail & recreation",0.26670685919931,50,-0.529090383240991,-21
"29","East Midlands","Transit stations",0.26784603006531,50,-0.51416042308445,-24
"30","East Midlands","Workplaces",0.264670299289355,50,-0.444706477470583,-4
"31","East of England","Grocery & pharmacy",0.568304358095233,19,-0.369396259480251,-42
"32","East of England","Parks",0.419860445183261,19,-0.446626510558878,-50
"33","East of England","Residential",0.361371545486748,-50,-0.440977548898889,18
"34","East of England","Retail & recreation",0.409542260181932,19,-0.363987946889727,-50
"35","East of England","Transit stations",0.422444846967806,17,-0.400612136728932,-50
"36","East of England","Workplaces",0.427087822468836,17,-0.338249449792778,-30
"37","South West","Grocery & pharmacy",0.699128100353526,-2,-0.465057181961822,50
"38","South West","Parks",0.590490410161935,-23,-0.386987801612546,50
"39","South West","Residential",0.392749084504856,50,-0.66133916642652,-6
"40","South West","Retail & recreation",0.501176538753009,-6,-0.365997829591534,50
"41","South West","Transit stations",0.612770613128714,-6,-0.396074423585638,50
"42","South West","Workplaces",0.692102807979609,-3,-0.370827924451641,50
"43","London","Grocery & pharmacy",0.523441325478209,17,-0.307620199382475,-34
"44","London","Parks",0.404592600264006,-2,-0.362398221167968,-26
"45","London","Residential",0.379907299408357,-39,-0.473325472490171,17
"46","London","Retail & recreation",0.309365092932439,17,-0.348802109934822,-36
"47","London","Transit stations",0.425021305710079,17,-0.379738496963381,-39
"48","London","Workplaces",0.475331499465746,19,-0.512823288770606,-42
"49","South East","Grocery & pharmacy",0.591018767041726,12,-0.29763342162151,-35
"50","South East","Parks",0.602458160450576,1,-0.395228321415435,-32
"51","South East","Residential",0.353367529159701,-39,-0.538735827452502,17
"52","South East","Retail & recreation",0.568560183335599,0,-0.358799486650542,-36
"53","South East","Transit stations",0.548760635181359,0,-0.338611905267249,-38
"54","South East","Workplaces",0.59145810175781,21,-0.406770093591605,-44
"55","England","Grocery & pharmacy",0.466825657693345,20,-0.373308782673712,-29
"56","England","Parks",0.335463503197078,19,-0.377962435120734,-23
"57","England","Residential",0.460207929761172,-35,-0.383689171783188,20
"58","England","Retail & recreation",0.325254193428451,20,-0.339765185626411,-31
"59","England","Transit stations",0.34745741687457,20,-0.410415076532537,-34
"60","England","Workplaces",0.379981123205284,22,-0.587260886182952,-37
