"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"","England Lockdown 2","England Lockdown 2","England Lockdown 2","England Lockdown 2","England Lockdown 2","England Lockdown 2"
"Retail","1","0.98","-0.3","0.97","0.95","-0.97"
"Grocery and Pharmacy","0.98","1","-0.31","0.96","0.9","-0.92"
"Parks","-0.3","-0.31","1","-0.09","-0.14","0.11"
"Transit Stations","0.97","0.96","-0.09","1","0.97","-0.98"
"Workplaces","0.95","0.9","-0.14","0.97","1","-0.99"
"Residential","-0.97","-0.92","0.11","-0.98","-0.99","1"
"","East of England Lockdown 2","East of England Lockdown 2","East of England Lockdown 2","East of England Lockdown 2","East of England Lockdown 2","East of England Lockdown 2"
"Retail","1","0.96","-0.53","0.91","0.92","-0.97"
"Grocery and Pharmacy","0.96","1","-0.53","0.83","0.82","-0.91"
"Parks","-0.53","-0.53","1","-0.18","-0.37","0.39"
"Transit Stations","0.91","0.83","-0.18","1","0.96","-0.97"
"Workplaces","0.92","0.82","-0.37","0.96","1","-0.97"
"Residential","-0.97","-0.91","0.39","-0.97","-0.97","1"
"","East Midlands Lockdown 2","East Midlands Lockdown 2","East Midlands Lockdown 2","East Midlands Lockdown 2","East Midlands Lockdown 2","East Midlands Lockdown 2"
"Retail","1","0.98","-0.17","0.97","0.95","-0.98"
"Grocery and Pharmacy","0.98","1","-0.12","0.93","0.92","-0.95"
"Parks","-0.17","-0.12","1","-0.03","-0.07","0.08"
"Transit Stations","0.97","0.93","-0.03","1","0.97","-0.98"
"Workplaces","0.95","0.92","-0.07","0.97","1","-0.99"
"Residential","-0.98","-0.95","0.08","-0.98","-0.99","1"
"","London Lockdown 2","London Lockdown 2","London Lockdown 2","London Lockdown 2","London Lockdown 2","London Lockdown 2"
"Retail","1","0.8","0.06","0.94","0.97","-0.99"
"Grocery and Pharmacy","0.8","1","0.07","0.91","0.76","-0.76"
"Parks","0.06","0.07","1","0.07","0.12","-0.11"
"Transit Stations","0.94","0.91","0.07","1","0.95","-0.91"
"Workplaces","0.97","0.76","0.12","0.95","1","-0.95"
"Residential","-0.99","-0.76","-0.11","-0.91","-0.95","1"
"","North East Lockdown 2","North East Lockdown 2","North East Lockdown 2","North East Lockdown 2","North East Lockdown 2","North East Lockdown 2"
"Retail","1","0.98","-0.76","0.95","0.93","-0.97"
"Grocery and Pharmacy","0.98","1","-0.79","0.88","0.85","-0.94"
"Parks","-0.76","-0.79","1","-0.65","-0.61","0.66"
"Transit Stations","0.95","0.88","-0.65","1","0.98","-0.97"
"Workplaces","0.93","0.85","-0.61","0.98","1","-0.97"
"Residential","-0.97","-0.94","0.66","-0.97","-0.97","1"
"","North West Lockdown 2","North West Lockdown 2","North West Lockdown 2","North West Lockdown 2","North West Lockdown 2","North West Lockdown 2"
"Retail","1","0.96","-0.66","0.96","0.95","-0.96"
"Grocery and Pharmacy","0.96","1","-0.66","0.97","0.93","-0.94"
"Parks","-0.66","-0.66","1","-0.51","-0.55","0.5"
"Transit Stations","0.96","0.97","-0.51","1","0.97","-0.98"
"Workplaces","0.95","0.93","-0.55","0.97","1","-0.99"
"Residential","-0.96","-0.94","0.5","-0.98","-0.99","1"
"","South East Lockdown 2","South East Lockdown 2","South East Lockdown 2","South East Lockdown 2","South East Lockdown 2","South East Lockdown 2"
"Retail","1","0.96","-0.04","0.97","0.95","-0.96"
"Grocery and Pharmacy","0.96","1","-0.1","0.94","0.86","-0.88"
"Parks","-0.04","-0.1","1","0.16","0.13","-0.19"
"Transit Stations","0.97","0.94","0.16","1","0.95","-0.97"
"Workplaces","0.95","0.86","0.13","0.95","1","-0.99"
"Residential","-0.96","-0.88","-0.19","-0.97","-0.99","1"
"","South West Lockdown 2","South West Lockdown 2","South West Lockdown 2","South West Lockdown 2","South West Lockdown 2","South West Lockdown 2"
"Retail","1","0.98","0.15","0.94","0.97","-0.98"
"Grocery and Pharmacy","0.98","1","0.04","0.94","0.91","-0.93"
"Parks","0.15","0.04","1","0.33","0.3","-0.33"
"Transit Stations","0.94","0.94","0.33","1","0.92","-0.95"
"Workplaces","0.97","0.91","0.3","0.92","1","-0.99"
"Residential","-0.98","-0.93","-0.33","-0.95","-0.99","1"
"","West Midlands Lockdown 2","West Midlands Lockdown 2","West Midlands Lockdown 2","West Midlands Lockdown 2","West Midlands Lockdown 2","West Midlands Lockdown 2"
"Retail","1","0.98","-0.46","0.98","0.95","-0.95"
"Grocery and Pharmacy","0.98","1","-0.37","0.98","0.93","-0.93"
"Parks","-0.46","-0.37","1","-0.32","-0.4","0.32"
"Transit Stations","0.98","0.98","-0.32","1","0.96","-0.97"
"Workplaces","0.95","0.93","-0.4","0.96","1","-0.99"
"Residential","-0.95","-0.93","0.32","-0.97","-0.99","1"
"","Yorkshire and the Humber Lockdown 2","Yorkshire and the Humber Lockdown 2","Yorkshire and the Humber Lockdown 2","Yorkshire and the Humber Lockdown 2","Yorkshire and the Humber Lockdown 2","Yorkshire and the Humber Lockdown 2"
"Retail","1","0.98","-0.77","0.96","0.93","-0.95"
"Grocery and Pharmacy","0.98","1","-0.74","0.96","0.95","-0.95"
"Parks","-0.77","-0.74","1","-0.58","-0.67","0.66"
"Transit Stations","0.96","0.96","-0.58","1","0.96","-0.97"
"Workplaces","0.93","0.95","-0.67","0.96","1","-0.99"
"Residential","-0.95","-0.95","0.66","-0.97","-0.99","1"
