"","Retail and recreationEstimate","Retail and recreationStd. Error","Retail and recreationt value","Retail and recreationPr(>|t|)","Grocery and pharmacyEstimate","Grocery and pharmacyStd. Error","Grocery and pharmacyt value","Grocery and pharmacyPr(>|t|)","ParksEstimate","ParksStd. Error","Parkst value","ParksPr(>|t|)","Transit stationsEstimate","Transit stationsStd. Error","Transit stationst value","Transit stationsPr(>|t|)","WorkplacesEstimate","WorkplacesStd. Error","Workplacest value","WorkplacesPr(>|t|)","ResidentialEstimate","ResidentialStd. Error","Residentialt value","ResidentialPr(>|t|)"
"(Intercept)",-86.586440703996,0.861311698132716,-100.528578552586,5.0161186731291e-80,-45.9576895905642,1.46525342882163,-31.3650107800968,4.1686434919365e-44,-45.1768206530085,8.32706045609192,-5.42530234903699,7.18322865186009e-07,-72.9611860224632,0.987311708234683,-73.8988360149381,2.30061508731745e-70,-54.6584426288253,1.18233872141203,-46.229089548508,8.24006026854691e-56,17.2498054693819,0.322505801704996,53.4868066812662,2.65447226215804e-60
"dayFriday",6.86610918286902,1.03534132397069,6.63173489157804,4.98080915806207e-09,12.24537221898,1.76131060130455,6.95242066328919,1.27625528131673e-09,-4.34292548453484,10.0095584630801,-0.433877827933529,0.665656757586613,-2.55437642698447,1.1867998697702,-2.15232280694391,0.0346783208751904,-18.782448219021,1.42123245262126,-13.2156060638634,4.76736723910608e-21,12.6670710855832,0.387668696999433,32.6749907424218,2.5580548454075e-45
"dayMonday",11.2855632685239,1.03569170756778,10.8966434567936,5.77950723787851e-17,10.2685111240798,1.76190666979887,5.82806757026015,1.41244258909786e-07,14.4967019381393,10.0129459305929,1.44779588730695,0.151955429932245,-2.11582762539546,1.18720151046373,-1.78219755176103,0.0788753586355689,-20.0368737905827,1.42171343075623,-14.0934687378769,1.60691979222178e-22,10.4983823243337,0.3877998931078,27.0716483189319,8.3438435982686e-40
"daySaturday",0.665737527003919,1.01043337229174,0.658863360276761,0.512056420490912,6.85339814274453,1.7189374840212,3.9869967386551,0.000157100940703541,-14.0298758075581,9.76875130822817,-1.43619950645491,0.155217276418036,-1.5350718227519,1.15824817080445,-1.32533930244477,0.189191730752392,-3.19296925392389,1.38704084021785,-2.30200089380381,0.0241896392490977,3.55622958708317,0.378342272033347,9.39950370327564,3.33088835721851e-14
"dayThursday",8.91387924767846,1.01096520502521,8.81719687618344,4.10138383297703e-13,13.8935277615669,1.71984223167291,8.07837341455009,1.00323924956032e-11,11.9103725773259,9.77389300470543,1.21859044002138,0.226923185300532,-2.60521546825569,1.15885780455924,-2.24808898728224,0.0275905995508196,-19.9955744284383,1.38777089698529,-14.4084116995648,4.87708607709336e-23,12.0853554279162,0.378541409166225,31.9261120059107,1.24606556556267e-44
"dayTuesday",9.07815174505134,1.03322091024281,8.78626405549411,4.68812513271705e-13,11.7005517595713,1.75770337816799,6.65672712751255,4.48133670080635e-09,16.4324590159357,9.9890585519071,1.6450458199385,0.104259997905373,-1.69654712806723,1.18436926386485,-1.43244778451194,0.156284103913378,-20.6227872142192,1.41832172092992,-14.5402745441266,2.97155452991401e-23,11.076768623049,0.386874738516416,28.6314083610786,1.97838960320277e-41
"dayWednesday",8.19271724835045,1.03309084202711,7.93029704171498,1.90368473249485e-11,11.4304869501601,1.7574821076344,6.50389947101412,8.5400940876635e-09,5.38657724773613,9.98780106765614,0.539315632264611,0.591310256673534,-2.7220813659214,1.1842201681629,-2.29862777134105,0.0243910125553603,-20.3843634148407,1.41814317385087,-14.373981266989,5.5526926310395e-23,12.0962966117234,0.386826036340105,31.2706371219752,5.11682659123539e-44
"bank_holiday1",-4.70780477316706,1.35904234646637,-3.4640603991537,0.000894129769762305,-5.73145560094603,2.31198701049895,-2.47901721545967,0.0154843846645286,29.1990432165126,13.139061974833,2.22230805155203,0.0293608798809216,-5.09460331111589,1.55785463446269,-3.27026873908107,0.0016412403662451,-15.6209417329607,1.86558291701996,-8.373222969855,2.79982561752508e-12,4.17232853149861,0.508873898320883,8.19914038677543,5.94852855705253e-12
"days_since_lockdown",0.249070860337254,0.0115922707590132,21.4859422726646,2.73294603535726e-33,0.270064809411186,0.0197206359954204,13.6945283850836,7.40998254966511e-22,1.13679085910864,0.112072713795669,10.143333025568,1.38498125173623e-15,0.298261510581442,0.013288086844998,22.4457827571857,1.70153154139381e-34,0.307030746076112,0.0159129274769954,19.2944225077361,2.20244709054595e-30,-0.1104370795835,0.00434055938497292,-25.4430523323409,5.03861711490876e-38
