"","interval_length","dtw_distance"
"X",63,25.5049690081608
"X.1",70,27.2472221446401
"X.2",77,21.5186720490561
"X.3",84,20.1199192683738
"X.4",91,25.5849579867366
"X.5",98,47.9808518879076
"X.6",105,49.6230379892371
"X.7",112,43.9632926219036
"X.8",119,44.6908399315116
"X.9",126,46.7436309977081
"X.10",133,47.6434964945813
"X.11",140,48.5591268008679
"X.12",147,50.4858860315279
"X.13",154,52.3164619159292
"X.14",161,54.3356047133084
"X.15",168,55.3273419354717
"X.16",175,58.4372816493934
"X.17",182,62.6905776097269
